,alpha,beta,"CAR(0, 0)","CAR(0, 1)","CAR(0, 2)","CAR(0, 3)","CAR(0, 4)","CAR(-1, 0)","CAR(-2, 0)","CAR(-3, 0)","CAR(-4, 0)","CAR(-1, 1)","CAR(-2, 2)","CAR(-3, 3)","CAR(-4, 4)"
0,-0.001284162345006583,0.7296611253742332,0.017021673236030335,0.019302050313805285,0.01710821476068645,0.027873788717697093,0.029139694771063075,0.018244150720122553,0.01439984110496763,0.02923284143880968,0.028117110117687034,0.020524527797897502,0.014486382629623748,0.04008495692047644,0.040235131652719774
1,0.0005521992251549619,0.6275746718718561,0.004401464146677627,-0.005909826734628249,-0.005190442428284153,0.001704769193916894,-0.003995815675131956,-0.054405662184092186,-0.0835066743011801,-0.18364839506205072,-0.1866953792233799,-0.06471695306539807,-0.09309858087614188,-0.18634509001481145,-0.1950926590451895
2,0.003176770259575682,1.4069697751546315,-0.04174401667298774,-0.0048715462034121595,-0.06405454271919649,-0.02412330034212412,0.03215497563802807,-0.08299887166514955,-0.033173406247905615,-0.07491924777728307,-0.08992115880211432,-0.04612640119557397,-0.055483932294114365,-0.05729853144641946,-0.016022166491098506
3,0.0003927358007154135,0.006037218190168445,0.0049376205454305,-0.008048062967387474,-0.025120052703744258,-0.034058426021589455,-0.04468506196872571,-0.010848845643860076,0.00985361158778359,0.0009223123434678789,0.0009223123434678789,-0.02383452915667805,-0.020204061661391166,-0.03807373422355207,-0.048700370170688324
4,0.0007989202723930459,1.2440203947382131,0.0,0.0076770610023484676,-0.010080620204907704,-0.001434551376687531,0.009003350949077811,-0.002613318321977011,-0.026126461314410744,-0.027469212812539636,-0.02633875392790616,0.005063742680371457,-0.03620708151931845,-0.028903764189227167,-0.017335402978828348
5,0.0019187790869225857,0.531684276161064,0.038029343137993325,0.038029343137993325,0.07261229712040276,0.07523067887913651,0.0495727979772759,0.02588076634870571,0.06804803114138185,0.042911793599642034,0.06647063454229316,0.02588076634870571,0.10263098512379129,0.08011312934078521,0.07801408938157574
6,-0.0015809875424465465,0.7707549942876494,0.000725584554432045,0.00591264092803409,0.00591264092803409,0.0032831633995514856,0.021671687232946785,-0.0025122062158323393,0.03683391958129408,0.020559007601584613,0.031438303948836885,0.0026748501577697056,0.04202097595489613,0.023116586446704054,0.05238440662735164
7,0.00712540187941313,1.6654370919088233,0.14729572392921472,0.05823492019408477,0.16543552398844166,0.16543552398844166,0.09877430055277668,0.8330816501929528,0.8649152052431929,0.9149350719197957,0.9082526447494252,0.7440208464578228,0.8830550053024199,0.9330748719790227,0.8597312213729872
8,-1.8822304308693198e-05,1.4121062718428115,-0.01878644068041458,0.006915284917489564,0.010406644235071384,-0.005429426229979177,0.014625278742948214,0.015806081348734645,-0.025829383278678127,-0.011718188552621016,-0.019733722145727932,0.04150780694663879,0.0033637016368078376,0.0016388258978143888,0.013677997277634862
9,0.004783982220902635,1.723046625905502,0.001223170519455025,-0.016275495889038677,-0.0026569250043092674,0.010292194933836546,-0.009406073409843048,-0.019724679132368333,-0.014987228236661538,0.018384152584829692,-0.002380497487759191,-0.037223345540862034,-0.018867323760425825,0.027453176999211217,-0.013009741417057262
