,cik_str,ticker,title
10061,312070,DTYS,BARCLAYS BANK PLC
10062,312070,COW,BARCLAYS BANK PLC
10063,312070,DFVL,BARCLAYS BANK PLC
10064,312070,DFVS,BARCLAYS BANK PLC
10065,312070,DJP,BARCLAYS BANK PLC
10066,312070,ATMP,BARCLAYS BANK PLC
10067,312070,BAL,BARCLAYS BANK PLC
10068,312070,BCM,BARCLAYS BANK PLC
10069,312070,BTYS,BARCLAYS BANK PLC
10070,312070,CAPE,BARCLAYS BANK PLC
10071,312070,VXZ,BARCLAYS BANK PLC
10072,312070,WIL,BARCLAYS BANK PLC
10073,312070,XVZ,BARCLAYS BANK PLC
10074,312070,TAPR,BARCLAYS BANK PLC
10075,312070,VQT,BARCLAYS BANK PLC
10076,312070,VXX,BARCLAYS BANK PLC
10077,312070,RODI,BARCLAYS BANK PLC
10078,312070,SBUG,BARCLAYS BANK PLC
10079,312070,SGG,BARCLAYS BANK PLC
10080,312070,STPP,BARCLAYS BANK PLC
10081,312070,PGM,BARCLAYS BANK PLC
10082,312070,NIB,BARCLAYS BANK PLC
10083,312070,OIL,BARCLAYS BANK PLC
10084,312070,OILNF,BARCLAYS BANK PLC
10085,312070,OLEM,BARCLAYS BANK PLC
10086,312070,JJS,BARCLAYS BANK PLC
10087,312070,JJT,BARCLAYS BANK PLC
10088,312070,JJU,BARCLAYS BANK PLC
10089,312070,JO,BARCLAYS BANK PLC
10090,312070,LD,BARCLAYS BANK PLC
10091,312070,JJC,BARCLAYS BANK PLC
10092,312070,JJE,BARCLAYS BANK PLC
10093,312070,JJG,BARCLAYS BANK PLC
10094,312070,JJM,BARCLAYS BANK PLC
10095,312070,JJN,BARCLAYS BANK PLC
10096,312070,JJP,BARCLAYS BANK PLC
10097,312070,GBUG,BARCLAYS BANK PLC
10098,312070,GRN,BARCLAYS BANK PLC
10099,312070,GSP,BARCLAYS BANK PLC
10100,312070,IMLP,BARCLAYS BANK PLC
10101,312070,JJA,BARCLAYS BANK PLC
10102,92122,SOJD,SOUTHERN CO
10103,92122,SOLN,SOUTHERN CO
10104,92230,TFC-PI,TRUIST FINANCIAL CORP
10105,92230,TFC-PO,TRUIST FINANCIAL CORP
10106,92230,TFC-PR,TRUIST FINANCIAL CORP
10107,92103,SCE-PK,SOUTHERN CALIFORNIA EDISON Co
10108,92103,SCE-PL,SOUTHERN CALIFORNIA EDISON Co
10109,92103,SCE-PG,SOUTHERN CALIFORNIA EDISON Co
10110,92103,SCE-PH,SOUTHERN CALIFORNIA EDISON Co
10111,92103,SCE-PJ,SOUTHERN CALIFORNIA EDISON Co
10112,93556,SWT,"STANLEY BLACK & DECKER, INC."
10113,92230,TFC-PF,TRUIST FINANCIAL CORP
10114,92230,TFC-PG,TRUIST FINANCIAL CORP
10115,92230,TFC-PH,TRUIST FINANCIAL CORP
10116,100826,UEPCO,UNION ELECTRIC CO
10117,5272,AIG-WT,"AMERICAN INTERNATIONAL GROUP, INC."
10118,4904,AEPPL,AMERICAN ELECTRIC POWER CO INC
10119,4904,AEPPZ,AMERICAN ELECTRIC POWER CO INC
10120,7789,ASB-PF,ASSOCIATED BANC-CORP
10121,6176,AP-WT,AMPCO PITTSBURGH CORP
10122,14272,BMY-RI,BRISTOL MYERS SQUIBB CO
10123,14272,CELG-RI,BRISTOL MYERS SQUIBB CO
10124,14930,BC-PA,BRUNSWICK CORP
10125,14930,BC-PB,BRUNSWICK CORP
10126,14930,BC-PC,BRUNSWICK CORP
10127,10795,BDXB,BECTON DICKINSON & CO
10128,11544,WRB-PF,BERKLEY W R CORP
10129,11544,WRB-PG,BERKLEY W R CORP
10130,11544,WRB-PH,BERKLEY W R CORP
10131,18654,AILIO,Ameren Illinois Co
10132,18654,AILIP,Ameren Illinois Co
10133,18654,AILNP,Ameren Illinois Co
10134,36104,USB-PQ,US BANCORP DE
10135,36104,USB-PR,US BANCORP DE
10136,36104,USB-PA,US BANCORP DE
10137,36966,FHN-PB,FIRST HORIZON CORP
10138,36966,FHN-PC,FIRST HORIZON CORP
10139,36966,FHN-PD,FIRST HORIZON CORP
10140,36966,FHN-PE,FIRST HORIZON CORP
10141,37996,F-PB,FORD MOTOR CO
10142,37996,F-PC,FORD MOTOR CO
10143,39263,CFR-PB,"CULLEN/FROST BANKERS, INC."
10144,35527,FITBO,FIFTH THIRD BANCORP
10145,35527,FITBP,FIFTH THIRD BANCORP
10146,19617,JPM-PG,JPMORGAN CHASE & CO
10147,19617,JPM-PH,JPMORGAN CHASE & CO
10148,19612,TCFCP,TCF FINANCIAL CORP
10149,19617,AMJ,JPMORGAN CHASE & CO
10150,19617,PPLN,JPMORGAN CHASE & CO
10151,19617,JPM-PJ,JPMORGAN CHASE & CO
10152,61004,LGL-WT,LGL GROUP INC
10153,40729,ALLY-PA,Ally Financial Inc.
10154,46207,HAWLI,HAWAIIAN ELECTRIC CO INC
10155,46207,HAWEM,HAWAIIAN ELECTRIC CO INC
10156,46207,HAWLL,HAWAIIAN ELECTRIC CO INC
10157,46207,HAWLM,HAWAIIAN ELECTRIC CO INC
10158,49196,HBANP,HUNTINGTON BANCSHARES INC/MD
